ResourceID,title,filename,thumbnail,year,source
b0b0b0b0-0000-2901-0001-000000000000,Red Pigment Canyon LN4232 F29 P1 closeup facing SE NRAF 2011,Red Pigment Canyon_LN4232_F29-P1_closeup_facing SE_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F29-P1_closeup_facing SE_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-2901-0002-000000000000,Red Pigment Canyon LN4232 F29 P1 detail ASM 2014,Red Pigment Canyon_LN4232_F29-P1_detail_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F29-P1_detail_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-2901-0003-000000000000,Red Pigment Canyon LN4232 F29 P1 facing SE NRAF 2011,Red Pigment Canyon_LN4232_F29-P1_facing SE_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F29-P1_facing SE_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-2901-0004-000000000000,Red Pigment Canyon LN4232 F29 P1 Lee et al 2002 drawing Locus,Red Pigment Canyon_LN4232_F29-P1_Lee et al 2002 drawing Locus 50.jpg,Red Pigment Canyon_LN4232_F29-P1_Lee et al 2002 drawing Locus 50_thumb.jpg,2002,Lee et al.
b0b0b0b0-0000-2901-0005-000000000000,Red Pigment Canyon LN4232 F29 P1 overview ASM 2014,Red Pigment Canyon_LN4232_F29-P1_overview_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F29-P1_overview_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-2901-0006-000000000000,Red Pigment Canyon LN4232 F29 P1 overview facing N NRAF 2011,Red Pigment Canyon_LN4232_F29-P1_overview_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F29-P1_overview_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-2910-0001-000000000000,Red Pigment Canyon LN4232 F29 P1 Panel 10C NRAF 2011,Red Pigment Canyon_LN4232_F29-P1_Panel-10C_NRAF 2011 drawing.jpg,Red Pigment Canyon_LN4232_F29-P1_Panel-10C_NRAF 2011 drawing_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3201-0001-000000000000,Red Pigment Canyon LN4232 F32 P1 Detail ASM 2014,Red Pigment Canyon_LN4232_F32-P1_Detail_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F32-P1_Detail_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-3201-0002-000000000000,Red Pigment Canyon LN4232 F32 P1 overview ASM 2014,Red Pigment Canyon_LN4232_F32-P1_overview_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F32-P1_overview_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-3217-0001-000000000000,Red Pigment Canyon LN4232 F32 P1 P17A&B overview facing N NRAF 2011,Red Pigment Canyon_LN4232_F32-P1_P17A&B overview_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F32-P1_P17A&B overview_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3217-0002-000000000000,Red Pigment Canyon LN4232 F32 P1 P17B closeup facing N NRAF 2011,Red Pigment Canyon_LN4232_F32-P1_P17B closeup_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F32-P1_P17B closeup_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3217-0003-000000000000,Red Pigment Canyon LN4232 F32 P1 P17B facing N NRAF 2011,Red Pigment Canyon_LN4232_F32-P1_P17B_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F32-P1_P17B_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3217-0004-000000000000,Red Pigment Canyon LN4232 F32 P1 Panel 17B NRAF 2011,Red Pigment Canyon_LN4232_F32-P1_Panel-17B_NRAF 2011 drawing.jpg,Red Pigment Canyon_LN4232_F32-P1_Panel-17B_NRAF 2011 drawing_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3202-0001-000000000000,Red Pigment Canyon LN4232 F32 P2 detail ASM 2014,Red Pigment Canyon_LN4232_F32-P2_detail_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F32-P2_detail_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-3202-0002-000000000000,Red Pigment Canyon LN4232 F32 P2 overview ASM 2014,Red Pigment Canyon_LN4232_F32-P2_overview_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F32-P2_overview_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-3217-0005-000000000000,Red Pigment Canyon LN4232 F32 P2 P17A closeup facing N NRAF 2011,Red Pigment Canyon_LN4232_F32-P2_P17A closeup_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F32-P2_P17A closeup_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3217-0006-000000000000,Red Pigment Canyon LN4232 F32 P2 P17A&B overview facing N NRAF 2011,Red Pigment Canyon_LN4232_F32-P2_P17A&B overview_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F32-P2_P17A&B overview_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3217-0007-000000000000,Red Pigment Canyon LN4232 F32 P2 P17A facing N NRAF 2011,Red Pigment Canyon_LN4232_F32-P2_P17A_facing N_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F32-P2_P17A_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3217-0008-000000000000,Red Pigment Canyon LN4232 F32 P2 Panel 17A NRAF 2011,Red Pigment Canyon_LN4232_F32-P2_Panel-17A_NRAF 2011 drawing.jpg,Red Pigment Canyon_LN4232_F32-P2_Panel-17A_NRAF 2011 drawing_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3701-0001-000000000000,Red Pigment Canyon LN4232 F37 P1 closeup facing E NRAF 2011,Red Pigment Canyon_LN4232_F37-P1_closeup_facing E_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F37-P1_closeup_facing E_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-3701-0002-000000000000,Red Pigment Canyon LN4232 F37 P1 detail ASM 2014,Red Pigment Canyon_LN4232_F37-P1_detail_ASM 2014 photo.jpg,Red Pigment Canyon_LN4232_F37-P1_detail_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-3701-0003-000000000000,Red Pigment Canyon LN4232 F37 P1 Lee et al 2002,Red Pigment Canyon_LN4232_F37-P1_Lee et al 2002 drawing.jpg,Red Pigment Canyon_LN4232_F37-P1_Lee et al 2002 drawing_thumb.jpg,2002,Lee et al.
b0b0b0b0-0000-3701-0004-000000000000,Red Pigment Canyon LN4232 F37 P1 location facing E NRAF 2011,Red Pigment Canyon_LN4232_F37-P1_location_facing E_NRAF 2011 photo.jpg,Red Pigment Canyon_LN4232_F37-P1_location_facing E_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
